"Web of Science Categories","Record Count","% of 354","...4","...5","...6","...7","...8"
"Marine Freshwater Biology",163,46.045,NA,NA,NA,NA,NA
"Oceanography",97,27.401,NA,NA,NA,NA,NA
"Ecology",86,24.294,NA,NA,NA,NA,NA
"Environmental Sciences",59,16.667,NA,NA,NA,NA,NA
"Fisheries",44,12.429,NA,NA,NA,NA,NA
"Multidisciplinary Sciences",31,8.757,NA,NA,NA,NA,NA
"Environmental Studies",18,5.085,NA,NA,NA,NA,NA
"Biodiversity Conservation",16,4.52,NA,NA,NA,NA,NA
"Geosciences Multidisciplinary",14,3.955,NA,NA,NA,NA,NA
"Biology",10,2.825,NA,NA,NA,NA,NA
"Evolutionary Biology",9,2.542,NA,NA,NA,NA,NA
"Water Resources",9,2.542,NA,NA,NA,NA,NA
"Green Sustainable Science Technology",8,2.26,NA,NA,NA,NA,NA
"Zoology",8,2.26,NA,NA,NA,NA,NA
"International Relations",6,1.695,NA,NA,NA,NA,NA
"Limnology",6,1.695,NA,NA,NA,NA,NA
"Biochemistry Molecular Biology",4,1.13,NA,NA,NA,NA,NA
"Engineering Environmental",4,1.13,NA,NA,NA,NA,NA
"Engineering Marine",3,0.847,NA,NA,NA,NA,NA
"Engineering Ocean",3,0.847,NA,NA,NA,NA,NA
"Genetics Heredity",3,0.847,NA,NA,NA,NA,NA
"Meteorology Atmospheric Sciences",3,0.847,NA,NA,NA,NA,NA
"Business",2,0.565,NA,NA,NA,NA,NA
"Chemistry Medicinal",2,0.565,NA,NA,NA,NA,NA
"Computer Science Interdisciplinary Applications",2,0.565,NA,NA,NA,NA,NA
"Economics",2,0.565,NA,NA,NA,NA,NA
"Energy Fuels",2,0.565,NA,NA,NA,NA,NA
"Engineering Chemical",2,0.565,NA,NA,NA,NA,NA
"Engineering Electrical Electronic",2,0.565,NA,NA,NA,NA,NA
"Geography Physical",2,0.565,NA,NA,NA,NA,NA
"Hospitality Leisure Sport Tourism",2,0.565,NA,NA,NA,NA,NA
"Materials Science Multidisciplinary",2,0.565,NA,NA,NA,NA,NA
"Mathematical Computational Biology",2,0.565,NA,NA,NA,NA,NA
"Paleontology",2,0.565,NA,NA,NA,NA,NA
"Pharmacology Pharmacy",2,0.565,NA,NA,NA,NA,NA
"Physics Applied",2,0.565,NA,NA,NA,NA,NA
"Acoustics",1,0.282,NA,NA,NA,NA,NA
"Agriculture Dairy Animal Science",1,0.282,NA,NA,NA,NA,NA
"Agronomy",1,0.282,NA,NA,NA,NA,NA
"Audiology Speech Language Pathology",1,0.282,NA,NA,NA,NA,NA
"Automation Control Systems",1,0.282,NA,NA,NA,NA,NA
"Cell Biology",1,0.282,NA,NA,NA,NA,NA
"Chemistry Multidisciplinary",1,0.282,NA,NA,NA,NA,NA
"Chemistry Physical",1,0.282,NA,NA,NA,NA,NA
"Engineering Multidisciplinary",1,0.282,NA,NA,NA,NA,NA
"Entomology",1,0.282,NA,NA,NA,NA,NA
"Forestry",1,0.282,NA,NA,NA,NA,NA
"Geochemistry Geophysics",1,0.282,NA,NA,NA,NA,NA
"Geology",1,0.282,NA,NA,NA,NA,NA
"Imaging Science Photographic Technology",1,0.282,NA,NA,NA,NA,NA
"Instruments Instrumentation",1,0.282,NA,NA,NA,NA,NA
"Materials Science Biomaterials",1,0.282,NA,NA,NA,NA,NA
"Mathematics Applied",1,0.282,NA,NA,NA,NA,NA
"Mechanics",1,0.282,NA,NA,NA,NA,NA
"Nuclear Science Technology",1,0.282,NA,NA,NA,NA,NA
"Optics",1,0.282,NA,NA,NA,NA,NA
"Parasitology",1,0.282,NA,NA,NA,NA,NA
"Physics Multidisciplinary",1,0.282,NA,NA,NA,NA,NA
"Polymer Science",1,0.282,NA,NA,NA,NA,NA
"Public Environmental Occupational Health",1,0.282,NA,NA,NA,NA,NA
"Remote Sensing",1,0.282,NA,NA,NA,NA,NA
"Statistics Probability",1,0.282,NA,NA,NA,NA,NA
"Thermodynamics",1,0.282,NA,NA,NA,NA,NA
"Veterinary Sciences",1,0.282,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
