Citation Topics Meso,Record Count,% of 354
1.132 Extracellular Matrix & Cell Differentiation,2,0.565
1.163 Parasitology - General,2,0.565
1.42 Bacteriology,2,0.565
1.68 Lipids,1,0.282
2.53 Polymers & Macromolecules,1,0.282
3.198 Mycotoxins,1,0.282
3.2 Marine Biology,293,82.768
3.274 Animal Sensing,1,0.282
3.35 Zoology & Animal Ecology,12,3.39
3.40 Forestry,3,0.847
"3.60 Herbicides, Pesticides & Ground Poisoning",8,2.26
3.64 Phylogenetics & Genomics,1,0.282
3.91 Contamination & Phytoremediation,1,0.282
4.169 Remote Sensing,1,0.282
4.48 Knowledge Engineering & Representation,1,0.282
4.84 Supply Chain & Logistics,2,0.565
6.115 Sustainability Science,2,0.565
6.122 Economic Theory,2,0.565
6.153 Climate Change,1,0.282
"6.223 Hospitality, Leisure, Sport & Tourism",5,1.412
6.263 Agricultural Policy,1,0.282
6.73 Social Psychology,1,0.282
7.70 Thermodynamics,1,0.282
"8.8 Geochemistry, Geophysics & Geology",1,0.282
9.162 Numerical Methods,1,0.282
7 record(s) (1.977%) do not contain data in the field being analyzed,,
