"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Noranarttragoon P.; Koolkalaya S.; Thitipongtrakul W.; Avakul P.; Phoonsawat R.; Jutagate T.","Noranarttragoon, Pavarot (37665701000); Koolkalaya, Sontaya (57417577300); Thitipongtrakul, Weerapol (58209539900); Avakul, Piyathap (57200081194); Phoonsawat, Ratanavaree (57190429667); Jutagate, Tuantong (56311049300)","37665701000; 57417577300; 58209539900; 57200081194; 57190429667; 56311049300","Trawl Fisheries in the Gulf of Thailand: Vulnerability Assessment and Trend Analysis of the Fish Landings","2023","Fishes","8","4","177","","","","0","10.3390/fishes8040177","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85154568100&doi=10.3390%2ffishes8040177&partnerID=40&md5=fc510a0142557e0fb198cebb551e4b2d","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85154568100"
"Nugawela N.P.P.S.; Mahaliyana A.S.; Abhiram G.; Abeygunawardena A.P.","Nugawela, N.P.P.S. (58403946000); Mahaliyana, A.S. (58505836800); Abhiram, G. (57205301057); Abeygunawardena, A.P. (57219566955)","58403946000; 58505836800; 57205301057; 57219566955","A meta-analytic review of microplastic pollution in the Indian Ocean: Ecological health and seafood safety risk implications","2023","Marine Pollution Bulletin","193","","115213","","","","2","10.1016/j.marpolbul.2023.115213","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163469217&doi=10.1016%2fj.marpolbul.2023.115213&partnerID=40&md5=8b45d2ecd6ade08af46a6e2912d882a7","Review","Final","","Scopus","2-s2.0-85163469217"
"Heran T.; Laudien J.; Waller R.G.; Häussermann V.; Försterra G.; González H.E.; Richter C.","Heran, Thomas (57226764852); Laudien, Jürgen (15136203500); Waller, Rhian G. (9738296200); Häussermann, Verena (57204227116); Försterra, Günter (14019290200); González, Humberto E. (7102929475); Richter, Claudio (7202686430)","57226764852; 15136203500; 9738296200; 57204227116; 14019290200; 7102929475; 7202686430","Life cycle of the cold-water coral Caryophyllia huinayensis","2023","Scientific Reports","13","1","2593","","","","2","10.1038/s41598-023-29620-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148064433&doi=10.1038%2fs41598-023-29620-x&partnerID=40&md5=acac98efb9531b7abe86ad48f0d835bc","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85148064433"
"Bournonville M.","Bournonville, Marie (58134099600)","58134099600","Educational use of FishBase by public aquariums","2023","Cybium","47","3","","371","376","5","0","10.26028/cybium/2023-025","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166319105&doi=10.26028%2fcybium%2f2023-025&partnerID=40&md5=4fc98c1858972efffed65816f55d9f06","Article","Final","","Scopus","2-s2.0-85166319105"
"Gotama R.; Stean S.J.; Sparks L.D.; Prasetijo R.; Sebastian P.","Gotama, Rinaldi (57780904000); Stean, Serena J. (58403858200); Sparks, Lauren D. (57218227143); Prasetijo, Rahmadi (57671905800); Sebastian, Pascal (57155998100)","57780904000; 58403858200; 57218227143; 57671905800; 57155998100","Citizen science approach for monitoring fish and megafauna assemblages in a remote Marine Protected Area","2023","Regional Studies in Marine Science","64","","103058","","","","2","10.1016/j.rsma.2023.103058","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163468805&doi=10.1016%2fj.rsma.2023.103058&partnerID=40&md5=16860cb6231aaa397d9f444eb4e64531","Article","Final","","Scopus","2-s2.0-85163468805"
"Huang Q.; Hou R.; Lin L.; Li H.; Liu S.; Cheng Y.; Xu X.","Huang, Qianyi (57467384300); Hou, Rui (57990099000); Lin, Lang (57200534155); Li, Hengxiang (20434132700); Liu, Shan (34880398600); Cheng, Yuanyue (36462465100); Xu, Xiangrong (7405293882)","57467384300; 57990099000; 57200534155; 20434132700; 34880398600; 36462465100; 7405293882","Bioaccumulation and Trophic Transfer of Organophosphate Flame Retardants and Their Metabolites in the Estuarine Food Web of the Pearl River, China","2023","Environmental Science and Technology","57","9","","3549","3561","12","5","10.1021/acs.est.2c05619","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148943312&doi=10.1021%2facs.est.2c05619&partnerID=40&md5=32af78d9a0ad5a08b893a2ce808562c7","Article","Final","","Scopus","2-s2.0-85148943312"
"Ramteke D.; Paramasivam K.; Viswanathan C.; Abhilash K.R.; Jeevamani J.J.J.; Samuel V.D.; Sankar R.; Muruganandam R.; Purvaja R.; Ramesh R.","Ramteke, Darwin (55575098700); Paramasivam, K. (57189216777); Viswanathan, C. (55579330000); Abhilash, K.R. (57196482931); Jeevamani, J. Joyson Joe (55553432400); Samuel, V. Deepak (57193528913); Sankar, R. (56924755000); Muruganandam, R. (57200101117); Purvaja, R. (14122450900); Ramesh, R. (7201897782)","55575098700; 57189216777; 55579330000; 57196482931; 55553432400; 57193528913; 56924755000; 57200101117; 14122450900; 7201897782","Assessment of benthic habitats of highly threatened oyster reefs of Pulicat Lake, India","2023","Regional Studies in Marine Science","66","","103122","","","","0","10.1016/j.rsma.2023.103122","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168447725&doi=10.1016%2fj.rsma.2023.103122&partnerID=40&md5=723170f86ec7992828fc8b04df4f6180","Article","Final","","Scopus","2-s2.0-85168447725"
"Jiang C.; Pauly D.; Wang W.; Du J.; Cheng J.; Wang M.","Jiang, Chengpu (57203454507); Pauly, Daniel (7007030396); Wang, Wenqing (55714109400); Du, Jianguo (55308883300); Cheng, Jianhua (58749648300); Wang, Mao (25123150000)","57203454507; 7007030396; 55714109400; 55308883300; 58749648300; 25123150000","A preliminary model of the mangrove ecosystem of Dongzhaigang Bay, Hainan, (China) based on Ecopath and Ecospace","2023","Frontiers in Marine Science","10","","1277226","","","","0","10.3389/fmars.2023.1277226","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85178964812&doi=10.3389%2ffmars.2023.1277226&partnerID=40&md5=5eb94d747b6cec3fb65ddd2cbd249c04","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85178964812"
"Dimarchopoulou D.; Keramidas I.; Tsagarakis K.; Markantonatou V.; Halouani G.; Tsikliras A.C.","Dimarchopoulou, Donna (56554159400); Keramidas, Ioannis (57202906955); Tsagarakis, Konstantinos (24327915700); Markantonatou, Vasiliki (56166393500); Halouani, Ghassen (55711475000); Tsikliras, Athanassios C. (6505910626)","56554159400; 57202906955; 24327915700; 56166393500; 55711475000; 6505910626","Spatiotemporal fishing effort simulations and restriction scenarios in Thermaikos Gulf, Greece (northeastern Mediterranean Sea)","2024","Ocean and Coastal Management","247","","106914","","","","0","10.1016/j.ocecoaman.2023.106914","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85176501425&doi=10.1016%2fj.ocecoaman.2023.106914&partnerID=40&md5=e323d58dd82a0cc97225e68f62d0f039","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85176501425"
"Araignous E.; Kervella Y.; Michelet N.; Luxcey N.; Nava V.; Duarte R.; Isorna R.; Safi G.","Araignous, Emma (57218793505); Kervella, Youen (15020574300); Michelet, Nicolas (57215069073); Luxcey, Neil (53164302100); Nava, Vincenzo (23392999800); Duarte, Rui (57210791678); Isorna, Rocio (57163983100); Safi, Georges (56165411400)","57218793505; 15020574300; 57215069073; 53164302100; 23392999800; 57210791678; 57163983100; 56165411400","Environmental Assessment tool in DTOcean+: reducing local and global environmental impacts for ocean energy projects","2023","International Marine Energy Journal","6","2","","63","90","27","0","10.36688/imej.6.63-90","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85180217570&doi=10.36688%2fimej.6.63-90&partnerID=40&md5=010f23d76f2ff69e95836a207ea76474","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85180217570"
"Morzaria-Luna H.N.; Urquidi M.; Cruz-Piñón G.; Dorantes Hernández J.M.; Jiménez P.A.V.; Sánchez-Cruz A.Y.; Martínez-Candelas I.A.","Morzaria-Luna, Hem Nalini (6506759470); Urquidi, Mabilia (58076054900); Cruz-Piñón, Gabriela (6506334781); Dorantes Hernández, José Manuel (57218878210); Jiménez, Paloma A. Valdivia (58527817300); Sánchez-Cruz, Angeles Y. (57218653296); Martínez-Candelas, Ilse A. (57214804887)","6506759470; 58076054900; 6506334781; 57218878210; 58527817300; 57218653296; 57214804887","Environmental History of Coastal Wetlands in the Northern Gulf of California","2023","Human Ecology","51","5","","841","859","18","0","10.1007/s10745-023-00440-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85167329245&doi=10.1007%2fs10745-023-00440-x&partnerID=40&md5=6741d6969e99f6b1c1b784c9dee69d46","Article","Final","","Scopus","2-s2.0-85167329245"
"Mascorda-Cabre L.; Hosegood P.; Attrill M.J.; Bridger D.; Sheehan E.V.","Mascorda-Cabre, Llucia (58614662600); Hosegood, Phil (6507189026); Attrill, Martin J. (7004262163); Bridger, Danielle (55711570500); Sheehan, Emma V. (19337995000)","58614662600; 6507189026; 7004262163; 55711570500; 19337995000","Detecting sediment recovery below an offshore longline mussel farm: A macrobenthic Biological Trait Analysis (BTA)","2023","Marine Pollution Bulletin","195","","115556","","","","0","10.1016/j.marpolbul.2023.115556","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171994555&doi=10.1016%2fj.marpolbul.2023.115556&partnerID=40&md5=a82fa6bd08e51ac5b1d813ed9fc88a3d","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85171994555"
"Singer A.; Bijleveld A.I.; Hahner F.; Holthuijsen S.; Hubert K.; Kerimoglu O.; Kleine Schaars L.; Kröncke I.; Lettmann K.; Rittweg T.; Scheiffarth G.; van der Veer H.W.; Wurpts A.","Singer, Anja (57193336868); Bijleveld, Allert I. (28367454300); Hahner, Florian (57207913919); Holthuijsen, Sander J. (25936386800); Hubert, Krischan (58110965000); Kerimoglu, Onur (16645859800); Kleine Schaars, Loran  (57191162438); Kröncke, Ingrid (55889221000); Lettmann, Karsten A. (16025247900); Rittweg, Timo (57913668600); Scheiffarth, Gregor (6602275939); van der Veer, Henk W. (7003376102); Wurpts, Andreas (12779245600)","57193336868; 28367454300; 57207913919; 25936386800; 58110965000; 16645859800; 57191162438; 55889221000; 16025247900; 57913668600; 6602275939; 7003376102; 12779245600","Long-term response of coastal macrofauna communities to de-eutrophication and sea level rise mediated habitat changes (1980s versus 2018)","2023","Frontiers in Marine Science","9","","963325","","","","1","10.3389/fmars.2022.963325","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148522267&doi=10.3389%2ffmars.2022.963325&partnerID=40&md5=7351dd3a93bdf65b77243b31a9121824","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85148522267"
"Sandoval L.A.","Sandoval, Luis Alejandro (57195408335)","57195408335","The isotopic niche of the macrobenthos in a major mangrove area of the southern Caribbean Sea","2023","Invertebrate Zoology","20","4","","433","442","9","0","10.15298/invertzool.20.4.08","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85176776332&doi=10.15298%2finvertzool.20.4.08&partnerID=40&md5=8654d69a89c36871aaab20d826e957d1","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85176776332"
"Muñoz M.; Reul A.; Guijarro B.; Hidalgo M.","Muñoz, M. (58792747600); Reul, A. (55150505300); Guijarro, B. (23097492700); Hidalgo, M. (26534464000)","58792747600; 55150505300; 23097492700; 26534464000","Carbon footprint, economic benefits and sustainable fishing: Lessons for the future from the Western Mediterranean","2023","Science of the Total Environment","865","","160783","","","","6","10.1016/j.scitotenv.2022.160783","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85145777294&doi=10.1016%2fj.scitotenv.2022.160783&partnerID=40&md5=3a1de5525babad2ec8e14a9b8360b4b9","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85145777294"
"Calder R.S.D.; McDermid J.L.; Boudreau S.A.","Calder, Ryan S. D. (36665884800); McDermid, Jenni L. (18434431300); Boudreau, Stephanie A. (55174950400)","36665884800; 18434431300; 55174950400","Drivers of Atlantic herring decline and evidence basis for fisheries closures and rebuilding plans","2023","Canadian Journal of Fisheries and Aquatic Sciences","80","4","","663","675","12","1","10.1139/cjfas-2022-0169","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85152957988&doi=10.1139%2fcjfas-2022-0169&partnerID=40&md5=4ee8e04c05fc7cad7140d6551fbe0530","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85152957988"
"Ndobe S.; Rosyida E.; Mangitung S.F.; Ridwan; Beto A.; Risdawati; Sya’ban M.; Fikry M.; Moore A.M.","Ndobe, Samliok (22985950300); Rosyida, Eka (56688592100); Mangitung, Septina F. (57212930823); Ridwan (57219896774); Beto, Arwin (58482019100); Risdawati (58481024800); Sya’ban, Moh (58480824300); Fikry, Mohamad (58481819600); Moore, Abigail M. (22986023100)","22985950300; 56688592100; 57212930823; 57219896774; 58482019100; 58481024800; 58480824300; 58481819600; 22986023100","Size structure and DNA barcoding of mangrove clams collected in Tolongano, Donggala District, Central Sulawesi, Indonesia","2023","AACL Bioflux","16","3","","1781","1794","13","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164386393&partnerID=40&md5=e58fd9357e69785f1797ee58da4d8ba2","Article","Final","","Scopus","2-s2.0-85164386393"
"Yin J.; Zhang C.; Xue Y.; Ji Y.; Xu B.; Ren Y.","Yin, Jie (57215856625); Zhang, Chongliang (55914644200); Xue, Ying (37082484200); Ji, Yupeng (37080750200); Xu, Binduo (7404589111); Ren, Yiping (36350061100)","57215856625; 55914644200; 37082484200; 37080750200; 7404589111; 36350061100","Potential impacts of ocean warming on the trophic control of a threatened marine ecosystem","2023","Progress in Oceanography","211","","102976","","","","2","10.1016/j.pocean.2023.102976","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147191621&doi=10.1016%2fj.pocean.2023.102976&partnerID=40&md5=5913345b2591d7ad015c493eee553648","Article","Final","","Scopus","2-s2.0-85147191621"
"Alexeyev D.O.; Evseeva N.V.","Alexeyev, D.O. (57715304600); Evseeva, N.V. (57191096903)","57715304600; 57191096903","The First Record of the Scallop Aequipecten opercularis (L. 1758) (Mollusca, Pectinidae) in Russian Waters","2023","Biology Bulletin","50","8","","1823","1825","2","0","10.1134/S1062359023080034","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85179688095&doi=10.1134%2fS1062359023080034&partnerID=40&md5=150a1339588fdd1920653877c8d14bde","Article","Final","","Scopus","2-s2.0-85179688095"
"Cicala D.; Maiello G.; Fiorentino F.; Garofalo G.; Massi D.; Sbrana A.; Mariani S.; D’Alessandro S.; Stefani M.; Perrodin L.; Russo T.","Cicala, Davide (57195376870); Maiello, Giulia (57221344503); Fiorentino, Fabio (7003857609); Garofalo, Germana (7003336974); Massi, Daniela (55934289500); Sbrana, Alice (57209877901); Mariani, Stefano (23397699900); D’Alessandro, Simone (57216122395); Stefani, Matteo (58819944500); Perrodin, Lucie (58820440400); Russo, Tommaso (55444853500)","57195376870; 57221344503; 7003857609; 7003336974; 55934289500; 57209877901; 23397699900; 57216122395; 58819944500; 58820440400; 55444853500","Spatial analysis of demersal food webs through integration of eDNA metabarcoding with fishing activities","2023","Frontiers in Marine Science","10","","1209093","","","","","10.3389/fmars.2023.1209093","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85182644778&doi=10.3389%2ffmars.2023.1209093&partnerID=40&md5=3dd4b6dfef18fc2f745f27861a340f69","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85182644778"
"Navarrete-Forero G.; Del-Solar-Escardó A.; Alfaro-Cordova E.; Rodríguez-Escalante L.; Andrade-Vera S.; Willette D.A.","Navarrete-Forero, Gabriela (57188760635); Del-Solar-Escardó, Alonso (58293278500); Alfaro-Cordova, Eliana (57194685678); Rodríguez-Escalante, Leonardo (58293488400); Andrade-Vera, Solange (57194568901); Willette, Demian A. (15039102700)","57188760635; 58293278500; 57194685678; 58293488400; 57194568901; 15039102700","Ecuador Case Study: Transboundary Marine Conservation and Fisheries Management in Ecuador and Northern Peru","2023","Challenges in Tropical Coastal Zone Management: Experiences and Lessons Learned","","","","247","276","29","0","10.1007/978-3-031-17879-5_15","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160506987&doi=10.1007%2f978-3-031-17879-5_15&partnerID=40&md5=8436c7da37f34531a373cbf863e4e327","Book chapter","Final","","Scopus","2-s2.0-85160506987"
"Chaudhary C.; Alfaro-Lucas J.M.; Simões M.V.P.; Brandt A.; Saeedi H.","Chaudhary, Chhaya (57190137277); Alfaro-Lucas, Joan M. (57003520300); Simões, Marianna V.P. (34769051100); Brandt, Angelika (55973500400); Saeedi, Hanieh (36126707000)","57190137277; 57003520300; 34769051100; 55973500400; 36126707000","Potential geographic shifts in the coral reef ecosystem under climate change","2023","Progress in Oceanography","213","","103001","","","","1","10.1016/j.pocean.2023.103001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150764102&doi=10.1016%2fj.pocean.2023.103001&partnerID=40&md5=8d5dcfb97bfbd821da6e0fb6cfcc2c13","Article","Final","","Scopus","2-s2.0-85150764102"
"Piñero-García F.; Thomas R.; Mantero J.; Forssell-Aronsson E.; Isaksson M.","Piñero-García, F. (54789108800); Thomas, R. (57211186739); Mantero, J. (24833533500); Forssell-Aronsson, E. (7003453664); Isaksson, M. (55552335500)","54789108800; 57211186739; 24833533500; 7003453664; 55552335500","Biodistribution of 210Po in seafood and risk assessment for consumers in Sweden","2023","Food Control","151","","109789","","","","1","10.1016/j.foodcont.2023.109789","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85152945248&doi=10.1016%2fj.foodcont.2023.109789&partnerID=40&md5=10dd21dc0beaa43f589d8ad53e7eddab","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85152945248"
"Malloggi C.; Tinacci L.; Giusti A.; Galli F.; Dall'ara S.; Marconi P.; Gasperetti L.; Armani A.","Malloggi, Chiara (58096451800); Tinacci, Lara (36946310500); Giusti, Alice (7004441269); Galli, Federico (58365301600); Dall'ara, Sonia (57218559921); Marconi, Paola (58368761900); Gasperetti, Laura (15724836400); Armani, Andrea (6602240100)","58096451800; 36946310500; 7004441269; 58365301600; 57218559921; 58368761900; 15724836400; 6602240100","Accidental discovery of a Tetraodontidae (Sphoeroides marmoratus) within a cuttlefish (Sepia officinalis) bought in a fish shop in Italy: risk assessment associated with the presence of Tetrodotoxin","2023","Italian Journal of Food Safety","12","2","11117","","","","2","10.4081/ijfs.2023.11117","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163076642&doi=10.4081%2fijfs.2023.11117&partnerID=40&md5=fda12a7b8b530fdccebab9538faa48df","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85163076642"
"Siqueira-Silva T.; Martinez P.A.","Siqueira-Silva, Tuany (57226311036); Martinez, Pablo Ariel (36165843700)","57226311036; 36165843700","Impacts of climate change on the distribution of venomous Conus (Gastropoda: Conidae) species in the Indo-Pacific region","2023","Marine Environmental Research","192","","106237","","","","0","10.1016/j.marenvres.2023.106237","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174456358&doi=10.1016%2fj.marenvres.2023.106237&partnerID=40&md5=b6b47656dc420fe1f101d3ba5a4bbcac","Article","Final","","Scopus","2-s2.0-85174456358"
"Querejeta M.; Lefort M.-C.; Bretagnolle V.; Boyer S.","Querejeta, Marina (57190166552); Lefort, Marie-Caroline (54787879600); Bretagnolle, Vincent (7004180492); Boyer, Stéphane (35368202500)","57190166552; 54787879600; 7004180492; 35368202500","Metabarcoding fecal samples to investigate spatiotemporal variation in the diet of the endangered Westland Petrel (Procellaria westlandica); [Métacodage à barres d’échantillons fécaux pour étudier les variations spatio-temporelles du régime alimentaire du Puffin du Westland (Procellaria westlandica), espèce en voie de disparition]","2023","Avian Conservation and Ecology","18","1","17","1","","","0","10.5751/ACE-02410-180117","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160084416&doi=10.5751%2fACE-02410-180117&partnerID=40&md5=38791c976c0c49133d6d513f2b97c06c","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85160084416"
"McMullen K.; Vargas F.H.; Calle P.; Alavarado-Cadena O.; Pakhomov E.A.; Alava J.J.","McMullen, Karly (57372741700); Vargas, Félix Hernán (58848098600); Calle, Paola (55668398900); Alavarado-Cadena, Omar (58848135300); Pakhomov, Evgeny A. (7006796484); Alava, Juan José (12139754400)","57372741700; 58848098600; 55668398900; 58848135300; 7006796484; 12139754400","Modelling microplastic bioaccumulation and biomagnification potential in the Galápagos penguin ecosystem using Ecopath and Ecosim (EwE) with Ecotracer","2024","PLoS ONE","19","1 January","e0296788","","","","","10.1371/journal.pone.0296788","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85183337235&doi=10.1371%2fjournal.pone.0296788&partnerID=40&md5=9edc42207425dccf2a578e6e2475ebbb","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85183337235"
"Rosa F.D.A.S.; Gasalla M.A.; de Queiroz A.K.O.; Ribas T.F.A.; Mauvisseau Q.; de Boer H.J.; Thorbek B.L.G.; Oliveira R.R.M.; Laux M.; Postuma F.A.; Ready J.S.","Rosa, Fabricio dos Anjos Santa (57219417178); Gasalla, Maria A. (8775290100); de Queiroz, Anna Karolina Oliveira (57208922289); Ribas, Talita Fernanda Augusto (55967600300); Mauvisseau, Quentin (57193522752); de Boer, Hugo J. (9039496600); Thorbek, Birgitte Lisbeth Graae (57224687627); Oliveira, Renato Renison Moreira (57203359996); Laux, Marcele (54883609000); Postuma, Felippe A. (36698843500); Ready, Jonathan Stuart (14018480200)","57219417178; 8775290100; 57208922289; 55967600300; 57193522752; 9039496600; 57224687627; 57203359996; 54883609000; 36698843500; 14018480200","Molecular analyses of carangid fish diets reveal inter-predation, dietary overlap, and the importance of early life stages in trophic ecology","2024","Ecology and Evolution","14","1","e10817","","","","0","10.1002/ece3.10817","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85181665504&doi=10.1002%2fece3.10817&partnerID=40&md5=d2f0a3b276ef97f52981348e4274169d","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85181665504"
"Martin A.; Rosset N.; Blettery J.; Gousseau Y.","Martin, Alexis (57191979908); Rosset, Nicolas (58515381300); Blettery, Jonathan (58515153600); Gousseau, Yann (6507849028)","57191979908; 58515381300; 58515153600; 6507849028","Using deep-learning for automatic identification of images of marine benthic macro-invertebrate bycatch: A proof of concept","2023","Cybium","47","3","","335","341","6","0","10.26028/cybium/2023-021","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166291900&doi=10.26028%2fcybium%2f2023-021&partnerID=40&md5=f20607d157ffd4e853186acc21267a90","Article","Final","","Scopus","2-s2.0-85166291900"
"Pantiukhin D.; Verhaegen G.; Kraan C.; Jerosch K.; Neitzel P.; Hoving H.-J.T.; Havermans C.","Pantiukhin, Dmitrii (57218802696); Verhaegen, Gerlien (57201428475); Kraan, Casper (15519294400); Jerosch, Kerstin (12779695600); Neitzel, Philipp (57204828603); Hoving, Henk-Jan T. (9236162600); Havermans, Charlotte (22835251700)","57218802696; 57201428475; 15519294400; 12779695600; 57204828603; 9236162600; 22835251700","Optical observations and spatio-temporal projections of gelatinous zooplankton in the Fram Strait, a gateway to a changing Arctic Ocean","2023","Frontiers in Marine Science","10","","987700","","","","2","10.3389/fmars.2023.987700","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159907576&doi=10.3389%2ffmars.2023.987700&partnerID=40&md5=a9a5043d40a19075cf5ae3fc90add3a0","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85159907576"
"Yin J.; Xue Y.; Xu B.; Ji Y.; Zhang C.; Ren Y.; Chen Y.","Yin, Jie (57215856625); Xue, Ying (37082484200); Xu, Binduo (7404589111); Ji, Yupeng (37080750200); Zhang, Chongliang (55914644200); Ren, Yiping (36350061100); Chen, Yong (35263790500)","57215856625; 37082484200; 7404589111; 37080750200; 55914644200; 36350061100; 35263790500","Potential impacts of ocean warming on energy flow and fisheries production in an overexploited ecosystem: Implication for effective fisheries management","2024","Ecological Indicators","158","","111433","","","","0","10.1016/j.ecolind.2023.111433","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85180540669&doi=10.1016%2fj.ecolind.2023.111433&partnerID=40&md5=7838605fbb3328a73a66cecb87800eda","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85180540669"
"Doustdar M.; Hashemi S.A.; Hosseinzadeh Sahafi H.","Doustdar, M. (55336309100); Hashemi, S.A. (57220632879); Hosseinzadeh Sahafi, H. (47561361100)","55336309100; 57220632879; 47561361100","Feeding and reproductive biology of Babylonia spirata (Linnaeus, 1758) in the northern Oman Sea","2023","Iranian Journal of Fisheries Sciences","22","2","","450","459","9","0","10.22092/ijfs.2023.129159","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168085433&doi=10.22092%2fijfs.2023.129159&partnerID=40&md5=5c5df813275c2127320fa2f2beddceae","Article","Final","","Scopus","2-s2.0-85168085433"
"Marmara D.; Katsanevakis S.; Brundo M.-V.; Tiralongo F.; Ignoto S.; Krasakopoulou E.","Marmara, Dimitra (57202323677); Katsanevakis, Stelios (55879579300); Brundo, Maria-Violetta (8645901300); Tiralongo, Francesco (57217980883); Ignoto, Sara (57219186793); Krasakopoulou, Evangelia (7801400214)","57202323677; 55879579300; 8645901300; 57217980883; 57219186793; 7801400214","Microplastics ingestion by marine fauna with a particular focus on commercial species: a systematic review","2023","Frontiers in Marine Science","10","","1240969","","","","0","10.3389/fmars.2023.1240969","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85173701906&doi=10.3389%2ffmars.2023.1240969&partnerID=40&md5=e360e4bc421eba2ae3644181ba383a85","Review","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85173701906"
"Kytinou E.; Issaris Y.; Sini M.; Salomidi M.; Katsanevakis S.","Kytinou, Eleni (57131173000); Issaris, Yiannis (36084293400); Sini, Maria (36802353800); Salomidi, Maria (37462243200); Katsanevakis, Stelios (55879579300)","57131173000; 36084293400; 36802353800; 37462243200; 55879579300","ECOfast – An integrative ecological evaluation index for an ecosystem-based assessment of shallow rocky reefs","2023","Journal of Environmental Management","344","","118323","","","","2","10.1016/j.jenvman.2023.118323","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166285587&doi=10.1016%2fj.jenvman.2023.118323&partnerID=40&md5=6d30da2deca0c8a6f445810cf39e48a7","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85166285587"
"Vassileva L.V.","Vassileva, Liliana V. (58797304800)","58797304800","Are Grey Plovers true Jelly Bon lovers? First record of Grey Plovers (Pluvialis squatarola) deliberately feeding on barrel jellyfish (Rhizostoma pulmo) in the Western Palearctic","2023","Ornis Fennica","100","3","","135","143","8","0","10.51812/of.121247","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85181674345&doi=10.51812%2fof.121247&partnerID=40&md5=fbdd8b3cb93eef35333a860edfb1ce2b","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85181674345"
